time_sec,mid_price,best_bid,best_ask,hft_agg_inventory,imbalance
0.0,1165.0,1164.75,1165.25,0.0,-0.08571428571428572
1.0,1166.75,1166.75,NaN,16.0,1.0
2.0,1167.625,1166.5,1168.75,28.0,0.4857142857142857
3.0,1166.5,1166.5,NaN,65.0,1.0
4.0,1165.0,1164.0,1166.0,28.0,0.40540540540540543
5.0,1164.75,1163.75,1165.75,25.0,0.2727272727272727
6.0,1163.75,1163.0,1164.5,19.0,0.125
7.0,1163.0,1163.0,NaN,47.0,1.0
8.0,1163.25,1163.25,NaN,71.0,1.0
9.0,1164.0,1164.0,NaN,92.0,1.0
10.0,1165.375,1164.75,1166.0,101.0,0.6470588235294118
11.0,1165.75,1165.75,NaN,114.0,1.0
12.0,1167.0,1166.25,1167.75,115.0,0.6923076923076923
13.0,1167.875,1167.0,1168.75,116.0,0.8333333333333334
14.0,1166.25,1166.0,1166.5,89.0,-0.8
15.0,1166.75,1166.5,1167.0,69.0,-0.8
16.0,1167.0,NaN,1167.0,48.0,-1.0
17.0,1166.625,1166.25,1167.0,25.0,-0.8
18.0,1166.5,1166.0,1167.0,28.0,-0.8709677419354839
19.0,1167.25,NaN,1167.25,52.0,-1.0
20.0,1167.0,NaN,1167.0,67.0,-1.0
21.0,1165.625,1165.0,1166.25,85.0,-0.8666666666666667
22.0,1164.375,1163.75,1165.0,103.0,-0.2857142857142857
23.0,1163.0,NaN,1163.0,110.0,-1.0
24.0,1161.75,NaN,1161.75,111.0,-1.0
25.0,1161.0,NaN,1161.0,114.0,-1.0
26.0,1160.25,NaN,1160.25,118.0,-1.0
27.0,1160.5,NaN,1160.5,116.0,-1.0
28.0,1160.0,NaN,1160.0,120.0,-1.0
29.0,1158.5,1157.75,1159.25,118.0,-0.8888888888888888
30.0,1159.25,NaN,1159.25,118.0,-1.0
31.0,1159.5,NaN,1159.5,120.0,-1.0
32.0,1158.25,NaN,1158.25,118.0,-1.0
33.0,1158.5,NaN,1158.5,117.0,-1.0
34.0,1158.0,NaN,1158.0,118.0,-1.0
35.0,1157.75,NaN,1157.75,118.0,-1.0
36.0,1158.5,NaN,1158.5,120.0,-1.0
37.0,1158.5,NaN,1158.5,120.0,-1.0
38.0,1157.75,NaN,1157.75,118.0,-1.0
39.0,1157.75,NaN,1157.75,115.0,-1.0
40.0,1157.5,NaN,1157.5,120.0,-1.0
41.0,1157.5,NaN,1157.5,118.0,-1.0
42.0,1157.25,NaN,1157.25,119.0,-1.0
43.0,1155.0,NaN,1155.0,117.0,-1.0
44.0,1153.75,1153.0,1154.5,115.0,-0.75
45.0,1154.75,NaN,1154.75,120.0,-1.0
46.0,1154.75,NaN,1154.75,112.0,-1.0
47.0,1153.25,NaN,1153.25,120.0,-1.0
48.0,1153.75,NaN,1153.75,119.0,-1.0
49.0,1154.0,NaN,1154.0,117.0,-1.0
50.0,1152.875,1152.5,1153.25,117.0,-0.5789473684210527
51.0,1152.125,1151.25,1153.0,117.0,-0.8333333333333334
52.0,1154.0,NaN,1154.0,117.0,-1.0
53.0,1153.0,NaN,1153.0,119.0,-1.0
54.0,1150.5,NaN,1150.5,116.0,-1.0
55.0,1149.25,NaN,1149.25,120.0,-1.0
56.0,1150.25,NaN,1150.25,118.0,-1.0
57.0,1150.0,NaN,1150.0,119.0,-1.0
58.0,1149.25,NaN,1149.25,117.0,-1.0
59.0,1150.0,NaN,1150.0,117.0,-1.0
60.0,1149.5,NaN,1149.5,120.0,-1.0
61.0,1150.0,NaN,1150.0,120.0,-1.0
62.0,1150.0,NaN,1150.0,120.0,-1.0
63.0,1149.75,NaN,1149.75,119.0,-1.0
64.0,1149.25,1148.5,1150.0,118.0,-0.9428571428571428
65.0,1150.0,NaN,1150.0,117.0,-1.0
66.0,1149.75,NaN,1149.75,117.0,-1.0
67.0,1150.0,NaN,1150.0,118.0,-1.0
68.0,1149.5,NaN,1149.5,117.0,-1.0
69.0,1149.5,NaN,1149.5,120.0,-1.0
70.0,1149.5,1148.75,1150.25,119.0,-0.9512195121951219
71.0,1149.25,1148.5,1150.0,118.0,-0.95
72.0,1150.5,NaN,1150.5,120.0,-1.0
73.0,1150.25,NaN,1150.25,119.0,-1.0
74.0,1149.25,NaN,1149.25,118.0,-1.0
75.0,1148.75,NaN,1148.75,118.0,-1.0
76.0,1147.75,1147.5,1148.0,93.0,0.8571428571428571
77.0,1147.625,1147.25,1148.0,66.0,0.7894736842105263
78.0,1147.375,1147.0,1147.75,45.0,0.8823529411764706
79.0,1146.875,1146.5,1147.25,27.0,0.7333333333333333
80.0,1147.875,1147.5,1148.25,42.0,-0.68
81.0,1146.875,1146.0,1147.75,49.0,-0.3333333333333333
82.0,1145.25,1145.25,NaN,31.0,1.0
83.0,1145.375,1145.0,1145.75,29.0,0.7241379310344828
84.0,1145.25,1144.75,1145.75,37.0,0.7777777777777778
85.0,1145.875,1145.0,1146.75,54.0,0.7037037037037037
86.0,1146.125,1145.5,1146.75,74.0,0.6470588235294118
87.0,1147.5,1147.5,NaN,98.0,1.0
88.0,1147.5,1147.5,NaN,108.0,1.0
89.0,1149.25,1148.5,1150.0,112.0,0.6666666666666666
90.0,1150.0,1150.0,NaN,112.0,1.0
91.0,1151.0,1151.0,NaN,114.0,1.0
92.0,1151.25,1151.25,NaN,116.0,1.0
93.0,1152.25,1152.25,NaN,117.0,1.0
